age,gender,census_region,n
35,Female,Midwest,189
35,Female,South,518
35,Female,West,514
35,Male,Northeast,313
35,Male,Midwest,162
35,Male,South,400
35,Male,West,460
36,Female,Northeast,432
36,Female,Midwest,174
36,Female,South,549
36,Female,West,587
36,Male,Northeast,313
36,Male,Midwest,161
36,Male,South,433
36,Male,West,478
37,Female,Northeast,403
37,Female,Midwest,199
37,Female,South,634
37,Female,West,584
37,Male,Northeast,344
37,Male,Midwest,151
37,Male,South,445
37,Male,West,475
38,Female,Northeast,409
38,Female,Midwest,172
38,Female,South,599
38,Female,West,614
38,Male,Northeast,298
38,Male,Midwest,143
38,Male,South,471
38,Male,West,477
39,Female,Northeast,432
39,Female,Midwest,173
39,Female,South,621
39,Female,West,609
39,Male,Northeast,329
39,Male,Midwest,144
39,Male,South,531
39,Male,West,500
40,Female,Northeast,428
40,Female,Midwest,172
40,Female,South,646
40,Female,West,662
40,Male,Northeast,349
40,Male,Midwest,143
40,Male,South,501
40,Male,West,501
41,Female,Northeast,513
41,Female,Midwest,212
41,Female,South,625
41,Female,West,756
41,Male,Northeast,403
41,Male,Midwest,153
41,Male,South,566
41,Male,West,628
42,Female,Northeast,481
42,Female,Midwest,192
42,Female,South,753
42,Female,West,728
42,Male,Northeast,350
42,Male,Midwest,170
42,Male,South,544
42,Male,West,560
43,Female,Northeast,481
43,Female,Midwest,235
43,Female,South,732
43,Female,West,818
43,Male,Northeast,379
43,Male,Midwest,200
43,Male,South,594
43,Male,West,599
44,Female,Northeast,438
44,Female,Midwest,218
44,Female,South,774
44,Female,West,876
44,Male,Northeast,376
44,Male,Midwest,185
44,Male,South,572
44,Male,West,654
45,Female,Northeast,525
45,Female,Midwest,208
45,Female,South,775
45,Female,West,800
45,Male,Northeast,407
45,Male,Midwest,195
45,Male,South,678
45,Male,West,684
46,Female,Northeast,608
46,Female,Midwest,278
46,Female,South,806
46,Female,West,946
46,Male,Northeast,453
46,Male,Midwest,221
46,Male,South,681
46,Male,West,734
47,Female,Northeast,542
47,Female,Midwest,261
47,Female,South,818
47,Female,West,970
